step	value
1	-37463
2	-37170
3	-36950
4	-36735
5	-36525
6	-36362
7	-36229
8	-36125
9	-36065
10	-36038
11	-36011
12	-35986
13	-35967
14	-35961
15	-35956
16	-35956
17	-35946
18	-35935
19	-35929
20	-35928
21	-35928
22	-35928
23	-35928
24	-35928
25	-35928
26	-35928
27	-35928
28	-35928
29	-35928
30	-35928
31	-35928
32	-35928
33	-35928
34	-35928
35	-35928
36	-35928
37	-35928
38	-35928
39	-35928
40	-35928
41	-35928
42	-35928
43	-35928
44	-35928
45	-35928
46	-35928
47	-35928
48	-35928
49	-35928
50	-35928
51	-35928
52	-35928
53	-35928
54	-35928
55	-35928
56	-35928
57	-35928
58	-35928
59	-35928
60	-35928
61	-35928
62	-35928
63	-35928
64	-35928
65	-35928
66	-35928
67	-35928
68	-35928
69	-35928
70	-35928
71	-35928
72	-35928
73	-35928
74	-35928
75	-35928
76	-35928
77	-35928
78	-35928
79	-35928
80	-35928
81	-35928
82	-35928
83	-35928
84	-35928
85	-35928
86	-35928
87	-35928
88	-35928
89	-35928
90	-35928
91	-35928
92	-35928
93	-35928
94	-35928
95	-35928
96	-35928
97	-35928
98	-35928
99	-35928
100	-35928
