step	value
1	-37774
2	-37527
3	-37317
4	-37135
5	-36985
6	-36839
7	-36725
8	-36602
9	-36507
10	-36420
11	-36338
12	-36266
13	-36208
14	-36145
15	-36093
16	-36045
17	-36006
18	-35962
19	-35927
20	-35889
21	-35864
22	-35838
23	-35816
24	-35792
25	-35774
26	-35762
27	-35748
28	-35735
29	-35720
30	-35706
31	-35694
32	-35686
33	-35679
34	-35669
35	-35658
36	-35652
37	-35646
38	-35640
39	-35638
40	-35624
41	-35621
42	-35612
43	-35606
44	-35605
45	-35603
46	-35599
47	-35596
48	-35591
49	-35587
50	-35587
51	-35579
52	-35579
53	-35580
54	-35576
55	-35573
56	-35571
57	-35569
58	-35570
59	-35573
60	-35565
61	-35562
62	-35558
63	-35558
64	-35562
65	-35562
66	-35558
67	-35553
68	-35549
69	-35545
70	-35551
71	-35548
72	-35546
73	-35543
74	-35543
75	-35540
76	-35539
77	-35539
78	-35535
79	-35535
80	-35534
81	-35532
82	-35529
83	-35529
84	-35529
85	-35526
86	-35527
87	-35529
88	-35526
89	-35523
90	-35521
91	-35523
92	-35522
93	-35523
94	-35520
95	-35518
96	-35519
97	-35517
98	-35522
99	-35519
100	-35523
